"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","cell_type"
1.68124878963888e-72,1.03748915583684,0.847,0.413,2.30566459011076e-68,"0","CD3D","Naive CD4 T"
3.40735273223809e-69,0.540909013861383,0.991,0.985,4.67284353699132e-65,"0","RPL10A","Naive CD4 T"
1.31157182416707e-68,0.352344902480007,1,0.997,1.79868959966271e-64,"0","RPL10","Naive CD4 T"
7.32881527239427e-66,0.587834439056894,0.991,0.948,1.00507372645615e-61,"0","RPSA","Naive CD4 T"
4.47198210368164e-63,0.444983576091601,0.997,0.984,6.13287625698901e-59,"0","RPL14","Naive CD4 T"
2.08597740278225e-62,0.536432904050471,0.991,0.975,2.86070941017558e-58,"0","RPS5","Naive CD4 T"
3.72068907277347e-61,0.534048188188056,0.994,0.968,5.10255299440154e-57,"0","RPS10","Naive CD4 T"
2.25848146662277e-60,0.421560115371192,1,0.989,3.09728148332647e-56,"0","RPS15","Naive CD4 T"
3.08518849172127e-60,0.805340854442688,0.928,0.798,4.23102749754655e-56,"0","NPM1","Naive CD4 T"
3.03032367433906e-59,0.569623475381605,0.992,0.948,4.15578588698858e-55,"0","RPL36","Naive CD4 T"
1.36850210371168e-57,0.483748878951081,0.998,0.979,1.8767637850302e-53,"0","RPL18","Naive CD4 T"
9.19022596610326e-56,2.191294778644,0.356,0.103,1.2603475889914e-51,"0","LEF1","Naive CD4 T"
9.74392895904294e-55,0.53658344043901,0.989,0.939,1.33628241744315e-50,"0","RPLP0","Naive CD4 T"
1.12689786155257e-53,1.03272719045907,0.741,0.402,1.5454277273332e-49,"0","CD3E","Naive CD4 T"
8.75500189969345e-52,0.617799580164853,0.969,0.887,1.20066096052396e-47,"0","RPL36A","Naive CD4 T"
1.54452231047478e-50,0.579348555409243,0.983,0.966,2.11815789658512e-46,"0","RPL7","Naive CD4 T"
4.13524771567301e-50,1.2295896273948,0.644,0.359,5.67107871727397e-46,"0","NOSIP","Naive CD4 T"
1.59167868930287e-49,0.534328138680968,0.992,0.957,2.18282815450995e-45,"0","RPL4","Naive CD4 T"
1.69525235601892e-49,0.735375306807444,0.919,0.777,2.32486908104434e-45,"0","RPL22","Naive CD4 T"
1.27933221173846e-48,0.595780393391497,0.952,0.867,1.75447619517812e-44,"0","EEF1B2","Naive CD4 T"
1.10712520046561e-46,0.322076960515482,0.998,0.992,1.51831149991853e-42,"0","RPL18A","Naive CD4 T"
5.96071885222442e-46,0.335655648898459,1,0.995,8.17452983394056e-42,"0","RPS2","Naive CD4 T"
1.04144359984865e-45,1.99187897830409,0.342,0.112,1.42823575283244e-41,"0","PRKCQ-AS1","Naive CD4 T"
1.63201225302125e-45,1.54602577854144,0.452,0.186,2.23814160379334e-41,"0","PIK3IP1","Naive CD4 T"
2.51888787114136e-45,0.432826095781945,0.997,0.984,3.45440282648327e-41,"0","RPS8","Naive CD4 T"
2.64307662781512e-45,0.357403245127382,0.998,0.992,3.62471528738566e-41,"0","RPS19","Naive CD4 T"
1.15248246931751e-44,0.738192414452183,0.919,0.902,1.58051445842204e-40,"0","JUNB","Naive CD4 T"
1.23821625285316e-43,0.839059158796765,0.854,0.699,1.69808976916282e-39,"0","TMEM66","Naive CD4 T"
5.77466482390648e-43,0.455618519742561,0.982,0.956,7.91937533950535e-39,"0","RPL17","Naive CD4 T"
5.80801218293659e-43,0.645137996490977,0.951,0.858,7.96510790767924e-39,"0","BTG1","Naive CD4 T"
2.25291352405166e-42,0.642113707999894,0.928,0.803,3.08964560688444e-38,"0","GLTSCR2","Naive CD4 T"
3.40499038132914e-42,0.530530989521193,0.969,0.897,4.66960380895478e-38,"0","RPS26","Naive CD4 T"
2.59073039149855e-41,0.570619421929583,0.962,0.871,3.55292765890111e-37,"0","RPL38","Naive CD4 T"
1.8283139485523e-39,0.462835417550941,0.989,0.941,2.50734974904462e-35,"0","RPL24","Naive CD4 T"
1.89180204758802e-39,0.953688138182335,0.587,0.296,2.59441732806221e-35,"0","CD7","Naive CD4 T"
4.68029849298168e-38,2.03963683359429,0.279,0.086,6.41856135327508e-34,"0","MAL","Naive CD4 T"
1.00595625356902e-36,0.422116543831042,0.997,0.963,1.37956840614455e-32,"0","RPL35","Naive CD4 T"
1.32417959719666e-36,1.37001702980831,0.405,0.177,1.8159798995955e-32,"0","TCF7","Naive CD4 T"
8.54812091788133e-36,0.299879296125899,1,0.989,1.17228930267825e-31,"0","RPL12","Naive CD4 T"
4.88594667922151e-35,0.308407172605332,1,0.996,6.70058727588438e-31,"0","RPLP1","Naive CD4 T"
9.91775464282802e-35,0.899336779638287,0.607,0.335,1.36012087171744e-30,"0","IL7R","Naive CD4 T"
2.80232634798307e-34,2.46448655763289,0.261,0.083,3.84311035362398e-30,"0","LDLRAP1","Naive CD4 T"
6.91202910145034e-34,0.991728605781383,0.713,0.49,9.479156709729e-30,"0","C6orf48","Naive CD4 T"
8.13344755291389e-34,0.521199095800823,0.94,0.841,1.11542099740661e-29,"0","RPS21","Naive CD4 T"
4.92671110722751e-33,1.00275433562566,0.417,0.181,6.75649161245181e-29,"0","CD27","Naive CD4 T"
2.26176692512315e-32,0.401666930143557,0.989,0.945,3.10178716111389e-28,"0","RPL37A","Naive CD4 T"
2.58141749182693e-32,0.4378080587379,0.986,0.944,3.54015594829146e-28,"0","RPL37","Naive CD4 T"
1.49211548339181e-30,0.599168535383736,0.859,0.695,2.04628717392352e-26,"0","RPSAP58","Naive CD4 T"
3.80288586841839e-30,0.618553497354428,0.934,0.902,5.21527767994898e-26,"0","RPL34","Naive CD4 T"
8.6249153145086e-29,1.15535458040222,0.417,0.208,1.18282088623171e-24,"0","LEPROTL1","Naive CD4 T"
4.02577861109708e-28,0.474909201489744,0.94,0.871,5.52095278725854e-24,"0","RPS4Y1","Naive CD4 T"
4.60635551553612e-28,0.376024013102631,0.983,0.95,6.31715595400623e-24,"0","RPL27","Naive CD4 T"
7.23054563594536e-28,0.301484242264968,0.997,0.995,9.91597028513546e-24,"0","RPL15","Naive CD4 T"
7.10106332741426e-27,0.33684500676489,0.988,0.975,9.73839824721591e-23,"0","RPL7A","Naive CD4 T"
8.17051073704293e-25,0.596380251261429,0.629,0.421,1.12050384247807e-20,"0","SELL","Naive CD4 T"
1.41368215102037e-24,0.283422556286279,0.998,0.992,1.93872370190934e-20,"0","RPL6","Naive CD4 T"
7.15319689626083e-24,0.364475564460093,0.9,0.639,9.80989422353211e-20,"0","LTB","Naive CD4 T"
7.16378178200308e-23,1.19067540020762,0.429,0.239,9.82441033583903e-19,"0","GIMAP5","Naive CD4 T"
1.51526961251385e-22,0.675404191041532,0.652,0.441,2.07804074660149e-18,"0","AES","Naive CD4 T"
5.48768764891929e-22,1.04423619064237,0.367,0.186,7.52581484172791e-18,"0","RGCC","Naive CD4 T"
6.94398396200508e-22,0.781852200420764,0.563,0.383,9.52297960549376e-18,"0","TMEM123","Naive CD4 T"
2.42730546955935e-21,1.09465002584653,0.457,0.281,3.32880672095369e-17,"0","NDFIP1","Naive CD4 T"
4.29517582524789e-21,1.1289438238635,0.437,0.257,5.89040412674495e-17,"0","C12orf57","Naive CD4 T"
1.93541777251585e-20,1.25850874188151,0.255,0.112,2.65423193322823e-16,"0","MYC","Naive CD4 T"
2.29989648357211e-20,0.789940774855548,0.512,0.312,3.1540780375708e-16,"0","LCK","Naive CD4 T"
2.45865747147952e-19,1.05897582282982,0.377,0.208,3.37180285638701e-15,"0","RHOH","Naive CD4 T"
8.55939570005078e-19,0.327082690656706,0.962,0.919,1.17383552630496e-14,"0","HNRNPA1","Naive CD4 T"
1.13495444426656e-18,0.478394560586207,0.85,0.756,1.55647652486716e-14,"0","TOMM7","Naive CD4 T"
3.933487340916e-18,0.917254234335774,0.416,0.252,5.39438453933221e-14,"0","GYPC","Naive CD4 T"
6.9843131462514e-18,0.828983530781218,0.342,0.179,9.57828704876917e-14,"0","CD3G","Naive CD4 T"
1.67025761589208e-17,0.252791693649713,0.997,0.987,2.2905912944344e-13,"0","RPS7","Naive CD4 T"
2.8876915835402e-17,0.695783289971017,0.541,0.376,3.96018023766703e-13,"0","RGS10","Naive CD4 T"
3.74608767871604e-17,0.584183687779777,0.758,0.602,5.13738464259117e-13,"0","EIF4A2","Naive CD4 T"
4.04906707677031e-17,1.25716067041472,0.275,0.139,5.5528905890828e-13,"0","FLT3LG","Naive CD4 T"
8.45199930739086e-17,1.0864699193232,0.276,0.139,1.15910718501558e-12,"0","TRAT1","Naive CD4 T"
1.14905748386848e-15,0.335295496730717,0.908,0.841,1.57581743337723e-11,"0","RPL23","Naive CD4 T"
4.14593233995478e-15,0.965576817119984,0.399,0.257,5.68573161101399e-11,"0","DNAJB1","Naive CD4 T"
4.32505870817904e-15,0.48006890491761,0.739,0.61,5.93138551239673e-11,"0","HINT1","Naive CD4 T"
5.63610622680629e-14,0.506586335074719,0.69,0.573,7.72935607944214e-10,"0","COMMD6","Naive CD4 T"
1.04144630697558e-13,0.623725776774821,0.612,0.48,1.42823946538631e-09,"0","SOD1","Naive CD4 T"
1.17633129482148e-13,0.766231920298161,0.331,0.192,1.61322073771818e-09,"0","OCIAD2","Naive CD4 T"
2.26166995426471e-13,0.298251321095138,0.969,0.965,3.10165417527862e-09,"0","EEF1D","Naive CD4 T"
2.61051836097658e-13,0.536004382661934,0.646,0.495,3.58006488024328e-09,"0","EVL","Naive CD4 T"
8.17943004026802e-13,0.433739949150831,0.776,0.642,1.12172703572236e-08,"0","HSPA8","Naive CD4 T"
1.92207320194614e-12,0.639760105605889,0.498,0.372,2.63593118914894e-08,"0","ST13","Naive CD4 T"
1.93749834268546e-12,0.548754060883826,0.469,0.337,2.65708522715884e-08,"0","FYB","Naive CD4 T"
2.02634458776854e-12,0.25650896905145,0.982,0.969,2.77892896766578e-08,"0","NACA","Naive CD4 T"
4.95714378052546e-12,0.7264922509859,0.571,0.454,6.79822698061261e-08,"0","TRAF3IP3","Naive CD4 T"
6.62340046969988e-12,0.359149545095477,0.897,0.848,9.08333140414641e-08,"0","PABPC1","Naive CD4 T"
7.63492035162581e-12,0.738470034148237,0.316,0.188,1.04705297702196e-07,"0","LAT","Naive CD4 T"
1.09213326787517e-11,0.745124805094589,0.345,0.222,1.49775156356401e-07,"0","SLC2A3","Naive CD4 T"
1.11746150271892e-11,0.323738659455548,0.802,0.711,1.53248670482872e-07,"0","SRSF5","Naive CD4 T"
2.70996768698843e-11,0.710054791162761,0.383,0.26,3.71644968593594e-07,"0","PRDX2","Naive CD4 T"
5.58802506101815e-11,0.349359015130997,0.704,0.567,7.66341756868028e-07,"0","CXCR4","Naive CD4 T"
8.01052584461378e-11,0.452089669149874,0.738,0.624,1.09856351433033e-06,"0","ZFP36L2","Naive CD4 T"
8.87552221864193e-11,0.531787607813118,0.477,0.35,1.21718911706455e-06,"0","PEBP1","Naive CD4 T"
1.45798976578466e-10,0.277453813591325,0.428,0.282,1.99948716479709e-06,"0","CD2","Naive CD4 T"
1.50898851556341e-10,0.451942884956366,0.437,0.311,2.06942685024366e-06,"0","CYTIP","Naive CD4 T"
3.00438163338102e-10,0.341504958309877,0.63,0.511,4.12020897201873e-06,"0","GIMAP7","Naive CD4 T"
4.43594821738422e-10,0.38700546481933,0.765,0.676,6.08345938532072e-06,"0","COX7C","Naive CD4 T"
4.92627893992483e-10,0.847423829074236,0.394,0.273,6.75589893821292e-06,"0","ACAP1","Naive CD4 T"
5.05274922571499e-10,0.921250621273156,0.265,0.164,6.92934028814553e-06,"0","PSIP1","Naive CD4 T"
5.18208961579848e-10,0.624541808178699,0.399,0.289,7.10671769910604e-06,"0","PPA1","Naive CD4 T"
8.35785815914296e-10,0.681305833948592,0.417,0.299,1.14619666794487e-05,"0","RSL1D1","Naive CD4 T"
2.64679460908065e-09,0.309947930536334,0.876,0.794,3.6298141268932e-05,"0","DDX5","Naive CD4 T"
1.41985849752473e-08,0.310183668847191,0.787,0.728,0.000194719394350541,"0","JUN","Naive CD4 T"
1.59111831940868e-08,0.61537708968066,0.44,0.336,0.000218205966323707,"0","BTG2","Naive CD4 T"
4.30076723422309e-08,0.374264058335154,0.457,0.329,0.000589807218501354,"0","CD69","Naive CD4 T"
8.14835422398659e-08,0.582219652774874,0.443,0.353,0.00111746529827752,"0","EIF3E","Naive CD4 T"
2.46366323913195e-07,0.670369599924541,0.282,0.185,0.00337866776614556,"0","SPOCK2","Naive CD4 T"
4.13763127094791e-07,0.715568875152379,0.396,0.304,0.00567434752497796,"0","CCDC109B","Naive CD4 T"
4.56052302439352e-07,0.295001476758836,0.747,0.666,0.00625430127565327,"0","NBEAL1","Naive CD4 T"
1.02942864408518e-06,0.636696614961918,0.308,0.225,0.0141175844249841,"0","EEF1G","Naive CD4 T"
2.15251326734464e-06,0.263186386561357,0.922,0.888,0.0295195669483644,"0","BTF3","Naive CD4 T"
3.08743957099362e-06,0.372564981106966,0.627,0.55,0.0423411462766065,"0","SNRPD2","Naive CD4 T"
3.72330798279368e-06,0.344721744889008,0.394,0.294,0.0510614456760325,"0","STK17A","Naive CD4 T"
8.67491506962007e-06,0.325374128604492,0.594,0.526,0.11896778526477,"0","RPL41","Naive CD4 T"
9.08034324319711e-06,0.260716910946607,0.19,0.28,0.124527827237205,"0","NDUFA2","Naive CD4 T"
9.28158334279874e-06,0.647692882377549,0.285,0.21,0.127287633963142,"0","CITED2","Naive CD4 T"
1.14920387605633e-05,0.48699065825506,0.492,0.417,0.157601819562365,"0","CUTA","Naive CD4 T"
1.17152707880881e-05,0.398052628895363,0.468,0.39,0.16066322358784,"0","UXT","Naive CD4 T"
0.0010460812754315,0.73634673832088,0.268,0.212,1,"0","MRPS21","Naive CD4 T"
0.000223703702974991,0.692229007186587,0.301,0.235,1,"0","SNHG8","Naive CD4 T"
0.00139829093885848,0.594872588826358,0.296,0.244,1,"0","PCNP","Naive CD4 T"
7.96148218734746e-05,0.567653136252092,0.327,0.258,1,"0","RPL39","Naive CD4 T"
0.00822321709346858,0.540064554466595,0.267,0.222,1,"0","SEPT1","Naive CD4 T"
0.000573858050367577,0.487149446565246,0.356,0.301,1,"0","SON","Naive CD4 T"
0.000139512223097939,0.479637201201996,0.357,0.29,1,"0","SF1","Naive CD4 T"
0.000136685210531897,0.477850950697231,0.319,0.255,1,"0","TOMM20","Naive CD4 T"
8.35217971431262e-05,0.465071293118807,0.428,0.36,1,"0","MZT2B","Naive CD4 T"
0.000136130984931976,0.459159151777282,0.313,0.244,1,"0","MZT2A","Naive CD4 T"
8.73084247375856e-05,0.439505433507074,0.262,0.195,1,"0","EIF2S3","Naive CD4 T"
0.00116673029489464,0.374493696410002,0.439,0.385,1,"0","NDUFS5","Naive CD4 T"
0.000589461320487527,0.372197534383176,0.304,0.233,1,"0","BIN1","Naive CD4 T"
0.00118392265862254,0.36800643636122,0.25,0.194,1,"0","SEPT6","Naive CD4 T"
0.000173557016831056,0.36337858821603,0.258,0.19,1,"0","SBDS","Naive CD4 T"
0.000281798927269989,0.36285820303374,0.431,0.36,1,"0","CMPK1","Naive CD4 T"
0.00447989513254055,0.358556364824856,0.275,0.228,1,"0","ARHGEF1","Naive CD4 T"
0.000381525098334127,0.336371685374873,0.503,0.445,1,"0","GIMAP4","Naive CD4 T"
0.000906736811740847,0.332129983570062,0.281,0.218,1,"0","CDC42SE2","Naive CD4 T"
0.000394796495997909,0.318438622889021,0.529,0.478,1,"0","ZFAS1","Naive CD4 T"
0.00101097788396517,0.30667706167678,0.336,0.278,1,"0","ANKRD12","Naive CD4 T"
0.000194625148045242,0.290271637533167,0.684,0.613,1,"0","CCNI","Naive CD4 T"
0.00510862281138417,0.259506665132173,0.406,0.362,1,"0","C1QBP","Naive CD4 T"
0.000141688519811521,0.257064286372851,0.502,0.441,1,"0","VAMP2","Naive CD4 T"
0.00430746898504081,0.257038705661707,0.564,0.519,1,"0","HMGN1","Naive CD4 T"
0.0088587706021077,0.255635039088947,0.356,0.315,1,"0","GIMAP1","Naive CD4 T"
0.00637945225738315,0.254240455553771,0.317,0.263,1,"0","ARHGAP15","Naive CD4 T"
1.03503964881232e-93,1.31871442802155,0.948,0.463,1.41945337438121e-89,"1","IL32","Memory CD4 T"
2.08748722822737e-88,1.34189633660918,0.981,0.641,2.86277998479102e-84,"1","LTB","Memory CD4 T"
3.0129488624313e-71,1.06192255959036,0.92,0.43,4.13195806993828e-67,"1","CD3D","Memory CD4 T"
5.88174316922274e-70,1.4397822524063,0.751,0.324,8.06622258227206e-66,"1","IL7R","Memory CD4 T"
1.56075650504823e-66,0.977630136578388,0.946,0.614,2.14042147102314e-62,"1","LDHB","Memory CD4 T"
1.05368270762473e-59,2.09448961216421,0.421,0.11,1.44502046523655e-55,"1","AQP3","Memory CD4 T"
2.36652563351513e-58,1.62971479730413,0.643,0.245,3.24545325380265e-54,"1","CD2","Memory CD4 T"
1.52185512730892e-54,1.02626380458359,0.825,0.409,2.08707212159146e-50,"1","CD3E","Memory CD4 T"
1.32651227213832e-42,0.426132486722641,0.996,0.984,1.81917893001049e-38,"1","TPT1","Memory CD4 T"
1.00601517531127e-40,1.5059737861412,0.39,0.124,1.37964921142188e-36,"1","TRAT1","Memory CD4 T"
2.01843330892922e-39,0.289918486040131,1,1,2.76807943986554e-35,"1","B2M","Memory CD4 T"
3.84584204632978e-36,0.36480532905215,1,0.992,5.27418778233666e-32,"1","RPS12","Memory CD4 T"
1.47135574286559e-35,0.349298019957797,1,0.995,2.01781726576587e-31,"1","RPS3","Memory CD4 T"
6.12040781911667e-35,0.695153782746677,0.779,0.486,8.3935272831366e-31,"1","GIMAP7","Memory CD4 T"
1.53150970032337e-34,1.88200187379467,0.262,0.069,2.10031240302347e-30,"1","CD40LG","Memory CD4 T"
1.75019053868856e-34,1.27443108989425,0.421,0.162,2.40021130475749e-30,"1","SPOCK2","Memory CD4 T"
1.11142700972582e-33,0.396064786641467,1,0.977,1.52421100113799e-29,"1","RPS25","Memory CD4 T"
1.30747300799562e-32,1.47047640378644,0.365,0.136,1.79306848316519e-28,"1","TRADD","Memory CD4 T"
2.48404536482989e-32,0.428955794496408,0.998,0.95,3.40661981332771e-28,"1","RPSA","Memory CD4 T"
2.20410416846673e-30,0.473511394719182,0.99,0.942,3.02270845663527e-26,"1","RPLP0","Memory CD4 T"
2.87720063279759e-30,1.4706186408447,0.299,0.097,3.94579294781861e-26,"1","TTC39C","Memory CD4 T"
3.61055238178121e-30,0.917222556584812,0.524,0.238,4.95151153637475e-26,"1","PRDX2","Memory CD4 T"
8.9282862386533e-29,0.629415141707927,0.893,0.709,1.22442517476891e-24,"1","JUN","Memory CD4 T"
9.22555785232396e-29,0.426620165560063,0.988,0.913,1.26519300386771e-24,"1","RPS29","Memory CD4 T"
3.19715750472083e-28,0.46235905354603,0.973,0.852,4.38458180197415e-24,"1","MYL12A","Memory CD4 T"
1.07826070325891e-27,0.973841551620568,0.482,0.23,1.47872672844927e-23,"1","ARHGAP15","Memory CD4 T"
1.30854297272206e-27,0.583153592020003,0.915,0.698,1.79453583279104e-23,"1","TMEM66","Memory CD4 T"
1.38213524670028e-27,1.06526818391132,0.435,0.196,1.89546027732476e-23,"1","CD27","Memory CD4 T"
1.48357015948215e-27,0.579416331180061,0.839,0.597,2.03456811671382e-23,"1","HINT1","Memory CD4 T"
1.77893101184764e-27,0.53821617564615,0.973,0.891,2.43962598964785e-23,"1","JUNB","Memory CD4 T"
2.16327333512655e-27,0.715481262934455,0.798,0.547,2.96671305179255e-23,"1","ANXA1","Memory CD4 T"
9.90741668340305e-27,0.817347767358032,0.6,0.307,1.35870312396189e-22,"1","LCK","Memory CD4 T"
2.39576589121404e-26,0.784214443882182,0.728,0.44,3.28555334321093e-22,"1","AES","Memory CD4 T"
5.62174402502568e-26,1.1411424135131,0.344,0.134,7.70965975592021e-22,"1","FLT3LG","Memory CD4 T"
9.39897624246337e-26,0.728846652474165,0.658,0.378,1.28897560189143e-21,"1","NOSIP","Memory CD4 T"
1.08736287174708e-25,0.692476075233384,0.742,0.485,1.49120944231394e-21,"1","EVL","Memory CD4 T"
1.2224276716361e-25,0.308409064073002,1,0.99,1.67643730888175e-21,"1","EEF1A1","Memory CD4 T"
1.48675193286546e-25,0.355238290333609,1,0.968,2.03893160073169e-21,"1","RPS27A","Memory CD4 T"
2.57648252924514e-25,0.997423056032177,0.412,0.176,3.53338814060679e-21,"1","CD3G","Memory CD4 T"
4.96934612030727e-25,0.268524179409465,0.998,0.997,6.81496126938939e-21,"1","RPS18","Memory CD4 T"
1.36864540385718e-24,0.350636304359448,0.998,0.95,1.87696030684974e-20,"1","RPL36","Memory CD4 T"
1.90767487302048e-24,0.311927402702562,0.998,0.984,2.61618532086029e-20,"1","RPS15A","Memory CD4 T"
3.28030179971077e-24,0.31294182801904,0.998,0.958,4.49860588812334e-20,"1","HLA-A","Memory CD4 T"
5.13166619891958e-24,1.54134332863563,0.295,0.109,7.03756702519831e-20,"1","OPTN","Memory CD4 T"
5.17921950931027e-24,0.429663739966379,0.948,0.768,7.1027816350681e-20,"1","VIM","Memory CD4 T"
5.56838599302999e-24,1.29758635350097,0.278,0.101,7.63648455084133e-20,"1","MAL","Memory CD4 T"
9.64378414883155e-24,0.313262969805225,0.998,0.969,1.32254855817076e-19,"1","RPS10","Memory CD4 T"
1.87404851851123e-23,1.21828074753789,0.295,0.11,2.57007013828629e-19,"1","SIT1","Memory CD4 T"
2.11085262587602e-23,1.0785098132446,0.268,0.095,2.89482329112638e-19,"1","ITM2A","Memory CD4 T"
2.47159188681973e-23,1.03684681871119,0.402,0.179,3.38954111358458e-19,"1","LAT","Memory CD4 T"
3.09585705296841e-23,1.00631690931898,0.53,0.301,4.24565836244088e-19,"1","PLP2","Memory CD4 T"
4.35859621970291e-23,0.285275405270089,1,0.988,5.97737885570057e-19,"1","RPL27A","Memory CD4 T"
2.02170825019342e-22,0.293169227986261,0.998,0.985,2.77257069431526e-18,"1","RPL14","Memory CD4 T"
2.62456440457333e-22,0.314163594396424,1,0.981,3.59932762443187e-18,"1","RPL30","Memory CD4 T"
3.07394001481561e-22,0.291014116849214,1,0.989,4.21560133631813e-18,"1","RPL23A","Memory CD4 T"
4.38914974330997e-22,1.01434430573767,0.441,0.214,6.01927995797529e-18,"1","TNFAIP8","Memory CD4 T"
8.88526643091037e-22,0.279588872458461,1,0.995,1.21852543833505e-17,"1","RPL3","Memory CD4 T"
1.3747274906394e-21,1.49566569499571,0.282,0.112,1.88530128066287e-17,"1","SUSD3","Memory CD4 T"
1.98322878508592e-21,0.707008959463405,0.744,0.51,2.71979995586683e-17,"1","GSTK1","Memory CD4 T"
4.21094077847427e-21,1.62311445155192,0.305,0.135,5.77488418359961e-17,"1","CORO1B","Memory CD4 T"
8.0671539969607e-21,0.259857933909966,1,0.991,1.10632949914319e-16,"1","RPLP2","Memory CD4 T"
1.10109464666158e-20,0.281428934954739,1,0.992,1.51004119843169e-16,"1","RPS27","Memory CD4 T"
1.53505819966885e-20,0.332073192177495,0.996,0.945,2.10517881502586e-16,"1","RPS20","Memory CD4 T"
1.6951689953636e-20,0.929803171244481,0.396,0.193,2.32475476024165e-16,"1","RGCC","Memory CD4 T"
2.59008973891373e-20,1.11469624995,0.412,0.205,3.5520490679463e-16,"1","PPP2R5C","Memory CD4 T"
5.59814534708341e-20,0.250383691736948,1,0.999,7.67729652899019e-16,"1","RPL13A","Memory CD4 T"
6.22982081835696e-20,0.368853592635041,0.938,0.805,8.54357627029474e-16,"1","NPM1","Memory CD4 T"
1.09953993834344e-19,0.674420278361424,0.41,0.195,1.5079090714442e-15,"1","ALOX5AP","Memory CD4 T"
